date,city,state,dead,injured,total,description
5/21/22,Tacoma,Washington,0,4,4,A drive-by shooting in the South End area left four wounded.
5/21/22,Goshen,Indiana,2,3,5,"A shooting occurred at a home, leaving two people dead and three injured."
5/20/22,Kissimmee,Florida,1,3,4,A drive-by shooting in front of a grocery store wounded three and killed one.
5/20/22,New Orleans,Louisiana,1,3,4,"Four people were shot, one fatally, in the Holy Cross neighborhood."
5/20/22,San Bernardino,California,1,9,10,"A shooting occurred at an after-prom party, leaving one dead and nine injured."
5/19/22,Chicago,Illinois,2,8,10,"Magnificent Mile shooting: An individual opened fire during an altercation between two groups of teenagers, killing two and injuring eight. The shooter engaged in a chase with police in the subway, during which a woman fell onto the train tracks and was electrocuted during the chaos."
5/19/22,Houston,Texas,4,0,4,"An estranged husband opened fire on his wife, killing her, their daughter, and his mother-in-law before committing suicide."
5/18/22,Philadelphia,Pennsylvania,0,5,5,"Five people were shot in the Cecil B. Moore neighborhood, including a teenager."
5/17/22,East Palo Alto,California,1,3,4,"Four people were shot, one of them fatally, at a park in a targeted attack."
5/15/22,Elizabeth City,North Carolina,0,4,4,Two teenagers and two juveniles were shot at a house in the Shepard Street–South Road Street Historic District.
5/15/22,Houston,Texas,2,3,5,"Two people were killed, and three others were injured, at a flea market after an argument escalated into a shooting in the Meadowviewland neighborhood."
5/15/22,Winston-Salem,North Carolina,0,7,7,Seven people were shot in three connected shootings that preceded an exchange of gunfire.
5/15/22,Amarillo,Texas,1,4,5,"Five people were shot at a nightclub in the morning, with one person dying."
5/15/22,Laguna Woods,California,1,5,6,"2022 Laguna Woods shooting: A man motivated by anti-Taiwanese sentiment opened fire at a church, killing one and wounding five others, before being physically restrained by churchgoers."
5/14/22,Buffalo,New York,10,3,13,"2022 Buffalo shooting: An 18-year-old white supremacist clad in body armor opened fire at a Tops supermarket, killing ten, including a security guard, and wounding three others."
5/13/22,Dallas,Texas,2,3,5,"Two people were killed, and three were injured, in a shooting in the Deep Ellum neighborhood."
5/13/22,Milwaukee,Wisconsin,0,17,17,A gunfight among several groups of people wounded seventeen people following an NBA game in the East Town neighborhood.
5/12/22,Hot Springs,Arkansas,0,4,4,A fight outside a convention center following a high school graduation ceremony led to a shooting that injured four. No students or graduates were involved in the shooting or the fight.
5/11/22,Paterson,New Jersey,1,4,5,"A teenage girl was killed, and four men wounded, in a shooting in the Sandy Hill neighborhood."
5/11/22,Saint Louis,Missouri,1,3,4,"Four people, including a teenager and a baby, were injured in an ambush while they drove in a car in the Mark Twain neighborhood. One of the adult victims later succumbed to his injuries."
5/11/22,Indianapolis,Indiana,0,4,4,"Four people, including two teenagers, were shot along the Canal Walk after two groups of people began shooting at each other across the water following an argument."
5/11/22,Chicago,Illinois,0,4,4,"Four people, including two children, were shot while they drove together in a vehicle in the West Englewood neighborhood."
5/10/22,Chicago,Illinois,0,6,6,Six people were shot by two men in a drive-by shooting in the Jackson Park neighborhood on the South Side.
5/10/22,Brookshire,Texas,1,3,4,"A shooter shot four people, one fatally, before fleeing and sparking a manhunt."
5/10/22,Baltimore,Maryland,0,5,5,Five people were shot during a confrontation between two groups after at least one of the groups opened fire in northwestern Baltimore.
5/10/22,Philadelphia,Pennsylvania,0,4,4,"Four people were shot, including two teenagers, in the Kensington neighborhood."
5/10/22,Baltimore,Maryland,1,3,4,"Four people were shot, one fatally, in the Milton-Montford neighborhood."
5/10/22,Chicago,Illinois,1,4,5,"Five teenagers outside in the Back of the Yards neighborhood on the South Side were shot, one fatally, by multiple occupants of a stolen vehicle."
5/9/22,Tuscaloosa,Alabama,0,5,5,An argument in the common area of an apartment complex led to a shooting that injured five.
5/9/22,Detroit,Michigan,0,4,4,"A fight amongst a group of people in the Chandler Park neighborhood on the city's east side led to four people, including three teenagers, being shot."
5/8/22,Clarkston,Georgia,3,3,6,"Three people were killed, and another three were injured, in a shooting at a condominium complex. The shooter has not been found."
5/7/22,Lexington,Kentucky,2,3,5,"A shooting during the very early morning killed two, and wounded three."
